Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
91,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,31,Germany,Europe,Europe,4/1/2015,5,0.412027099803429
92,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.20315897844202
93,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.0305763722718182
94,Male,4 - Manager,N,2,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,2,4 - Manager,N,3,40 to 49,44,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.974361975582893
95,Male,3 - Senior Manager,N,4,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,4/1/2012,8,0.12907235591431
96,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,25,France,Europe,Europe,4/1/2019,1,0.364996516853527
97,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,HR,,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,40,Germany,Europe,Europe,4/1/2017,3,0.772422305407099
98,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.677994116515051
99,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,28,France,Europe,Europe,4/1/2017,3,0.653099063191965
100,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,4/1/2014,6,0.530958170292207
101,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Germany,Europe,Europe,4/1/2018,2,0.139867809786691
102,Female,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,,40 to 49,40,Israel,Middle East,Elsewhere,4/1/2018,2,0.489386846409124
103,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,5,6 - Junior Officer,N,3,20 to 29,22,France,Europe,Europe,4/1/2015,5,0.818034185455065
104,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.162974984493705
105,Male,4 - Manager,Y,,No,No,0.50,No,N,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,0,,N,,30 to 39,30,France,Europe,Europe,4/1/2020,0,0.0519952882219404
106,Male,2 - Director,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,France,Europe,Europe,4/1/2017,3,0.0721898893249953
107,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.966894332918758
108,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,6,3 - Senior Manager,N,3,30 to 39,34,France,Europe,Europe,4/1/2014,6,0.982377249671399
109,Male,6 - Junior Officer,Y,,No,No,0.50,No,N,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,,N,,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.548264282768975
110,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.65618581886864
111,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Finance,,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,0,,N,,30 to 39,33,Germany,Europe,Europe,4/1/2020,0,0.391467443558601
112,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,27,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.343486397577751
113,Male,2 - Director,N,3,No,Yes,0.50,No,Y,Strategy,,2 - Director,Strategy,Full Time,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,4,2 - Director,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.55144176333992
114,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.767084195630563
115,Male,2 - Director,N,3,No,No,0.50,Yes,Y,Finance,FY20,,Finance,Full Time,Full Time,,,,,3,2 - Director,N,4,40 to 49,49,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.34486395299951
116,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,,20 to 29,26,France,Europe,Europe,4/1/2018,2,0.0547560719526777
117,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,33,France,Europe,Europe,4/1/2013,7,0.423087549266806
118,Female,3 - Senior Manager,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,2,3 - Senior Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,4/1/2012,8,0.966434467865295
119,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,80%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,22,France,Europe,Europe,4/1/2019,1,0.954585075627894
120,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2014,6,0.0359928767021937
121,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,3,6 - Junior Officer,N,3,40 to 49,46,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.764201350964561
122,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.450730600707259
123,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,30 to 39,30,Lebanon,Middle East,Elsewhere,4/1/2018,2,0.25123688525958
124,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.419308700531961
125,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,,N,,30 to 39,38,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.612032659461606
126,Female,6 - Junior Officer,Y,,No,No,0.50,No,N,Internal Services,,6 - Junior Officer,Internal Services,80%,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,,N,,20 to 29,22,Germany,Europe,Europe,4/1/2020,0,0.963705323723669
127,Male,1 - Executive,N,,No,No,0.50,No,Y,Finance,,1 - Executive,Finance,Full Time,Full Time,,,,,2,1 - Executive,N,3,50 to 59,55,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.907216512703096
128,Male,1 - Executive,N,,No,No,0.50,No,Y,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,3,1 - Executive,N,2,40 to 49,42,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.647390998198026
129,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.228131718646896
130,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Germany,Europe,Europe,4/1/2018,2,0.884601071908846
131,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.994371954066467
132,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,25,Germany,Europe,Europe,4/1/2018,2,0.487920198982037
133,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,38,Russia,Europe,Europe,4/1/2017,3,0.699585142570638
134,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,32,France,Europe,Europe,4/1/2012,8,0.266131215960517
135,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,70%,Part Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,16 to 19,19,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.582952022244835
136,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.508556763621329
137,Male,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,2 - Director,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,France,Europe,Europe,4/1/2018,2,0.0124942854516327
138,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,HR,,5 - Senior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,6,6 - Junior Officer,N,2,30 to 39,30,Sweden,Europe,Europe,4/1/2014,6,0.992487080885834
139,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,4/1/2018,2,0.120383832946279
140,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,5,3 - Senior Manager,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.442460123463433
141,Male,3 - Senior Manager,N,4,No,Yes,0.50,No,Y,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.579401876306632
142,Male,3 - Senior Manager,Y,,No,No,0.50,No,N,Operations,,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,,N,,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.724201406439011
143,Female,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,50%,Part Time,,,,,2,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.776015315295522
144,Male,1 - Executive,Y,,No,No,0.50,No,N,Strategy,,1 - Executive,Strategy,Full Time,Full Time,,,,,0,,N,,40 to 49,49,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.181912508124094
145,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,4,4 - Manager,N,3,30 to 39,36,Spain,Europe,Europe,4/1/2016,4,0.557900614298483
146,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.0356761856717879
147,Female,4 - Manager,Y,,No,No,0.50,No,N,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,0,,N,,40 to 49,42,Germany,Europe,Europe,4/1/2020,0,0.827078006524959
148,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.863121929037958
149,Male,4 - Manager,N,4,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,36,Germany,Europe,Europe,4/1/2015,5,0.557485562487188
150,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.775894092555377
151,Female,5 - Senior Officer,N,,No,No,0.50,Yes,Y,Sales & Marketing,FY20,,Sales & Marketing,Full Time,Full Time,,,,,3,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,4/1/2016,4,0.620935856602954
152,Male,2 - Director,N,2,No,Yes,0.50,No,Y,HR,,2 - Director,HR,Full Time,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,40 to 49,42,France,Europe,Europe,4/1/2012,8,0.80409718177461
153,Female,3 - Senior Manager,Y,,No,No,0.50,No,N,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,0,,N,,40 to 49,40,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.690026727119998
154,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.652927149613522
155,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.608158600929143
156,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,5,6 - Junior Officer,N,3,30 to 39,39,Italy,Europe,Europe,4/1/2015,5,0.0594704911597869
157,Female,5 - Senior Officer,Y,,No,No,0.50,No,N,Operations,,5 - Senior Officer,Operations,90%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0,,N,,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2020,0,0.713109239849185
158,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.632702595890994
159,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,Germany,Europe,Europe,4/1/2017,3,0.054375075517356
160,Male,3 - Senior Manager,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,1,4 - Manager,Y,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.03417578135116
161,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.745235380738673
162,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,4/1/2017,3,0.123734411885978
163,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Finance,,4 - Manager,Finance,Full Time,Full Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.969130417327129
164,Male,5 - Senior Officer,N,3,No,No,0.50,Yes,Y,Operations,FY20,,Operations,Full Time,Full Time,,,,,7,5 - Senior Officer,N,3,50 to 59,56,Netherlands,Europe,Europe,4/1/2011,9,0.938282680389647
165,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,,20 to 29,26,France,Europe,Europe,4/1/2019,1,0.221416133232747
166,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.536948044113632
167,Male,3 - Senior Manager,N,2,No,Yes,0.50,No,Y,Internal Services,,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,40,Germany,Europe,Europe,4/1/2017,3,0.925182633686727
168,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,2,20 to 29,25,France,Europe,Europe,4/1/2011,9,0.488209617068197
169,Female,5 - Senior Officer,N,1,No,Yes,0.50,No,Y,Sales & Marketing,,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,32,France,Europe,Europe,4/1/2018,2,0.310246790208852
170,Male,4 - Manager,N,2,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.805308536276958
171,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,80%,Part Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,40 to 49,41,Italy,Europe,Europe,4/1/2011,9,0.626136943058537
172,Male,3 - Senior Manager,N,3,No,Yes,0.50,No,Y,HR,,3 - Senior Manager,HR,Full Time,Full Time,Inconclusive,3 - Senior Manager & HR,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.632303128445477
173,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,40%,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,30,Italy,Europe,Europe,4/1/2013,7,0.704115324920051
174,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Operations,,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,France,Europe,Europe,4/1/2011,9,0.964244111113667
175,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Finance,,4 - Manager,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,36,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.813824868475023
176,Female,3 - Senior Manager,N,2,Yes,Yes,0.50,No,Y,Internal Services,,2 - Director,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,2,40 to 49,46,France,Europe,Europe,4/1/2016,4,0.779583791954935
177,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,30,Spain,Europe,Europe,4/1/2015,5,0.19546409681002
178,Male,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,,5 - Senior Officer,Internal Services,90%,Part Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,4,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.829833220976275
179,Male,5 - Senior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,33,Germany,Europe,Europe,4/1/2015,5,0.952668312744313
180,Male,3 - Senior Manager,N,2,No,No,0.50,Yes,Y,HR,FY20,,HR,Full Time,Full Time,,,,,2,3 - Senior Manager,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2016,4,0.365469735590928
181,Female,5 - Senior Officer,N,3,No,Yes,0.50,No,Y,Operations,,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,29,Italy,Europe,Europe,4/1/2012,8,0.764048924933664
182,Female,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,,Internal Services,Full Time,Full Time,,,,,2,6 - Junior Officer,N,3,40 to 49,44,Germany,Europe,Europe,4/1/2018,2,0.544156876595275
